X,MOMENTO,CORTANTE
0,1083.897,1984.994
0.04882,988.1751,1936.147
0.09765,894.8379,1887.301
0.14647,803.8857,1838.454
0.19529,715.3183,1789.608
0.24412,629.1357,1740.761
0.29294,545.3381,1691.915
0.34176,463.9252,1643.068
0.39059,384.8973,1594.222
0.43941,308.2542,1545.375
0.48824,233.9959,1496.529
0.53706,162.1226,1447.682
0.58588,92.634,1398.836
0.63471,25.5304,1349.989
0.68353,-39.1884,1301.142
0.73235,-101.5223,1252.296
0.78118,-161.4714,1203.449
0.83,-219.0356,1154.603
0.87882,-274.215,1105.756
0.92765,-327.0095,1056.91
0.97647,-377.4191,1008.063
1.02529,-425.4439,959.217
1.07412,-471.0838,910.37
1.12294,-514.3389,861.524
1.17176,-555.2091,812.677
1.22059,-593.6944,763.831
1.26941,-629.7949,714.984
1.31824,-663.5105,666.137
1.36706,-694.8412,617.291
1.41588,-723.7871,568.444
1.46471,-750.3481,519.598
1.51353,-774.5243,470.751
1.56235,-796.3156,421.905
1.61118,-815.7221,373.058
1.66,-832.7437,324.212
1.66,-832.7437,-1175.788
1.70941,-773.4245,-1225.223
1.75882,-711.6628,-1274.658
1.80824,-647.4583,-1324.093
1.85765,-580.8112,-1373.529
1.90706,-511.7214,-1422.964
1.95647,-440.1889,-1472.399
2.00588,-366.2137,-1521.834
2.05529,-289.7959,-1571.269
2.10471,-210.9354,-1620.704
2.15412,-129.6322,-1670.139
2.20353,-45.8864,-1719.574
2.25294,40.3021,-1769.009
2.30235,128.9333,-1818.444
2.35176,220.0072,-1867.879
2.40118,313.5237,-1917.314
2.45059,409.4829,-1966.749
2.5,507.8848,-2016.184
2.51,507.8848,270.41
2.55,494.3649,270.386
2.6,480.8462,270.363
2.65,467.3286,270.339
2.7,453.8123,270.315
2.75,440.2971,270.292
2.8,426.7831,270.268
2.85,413.2703,270.245
2.9,399.7586,270.221
2.95,386.2482,270.198
3,372.7389,270.174
3.05,359.2308,270.15
3.1,345.7238,270.127
3.15,332.2181,270.103
3.2,318.7135,270.08
3.25,305.2101,270.056
3.3,291.7079,270.033
3.35,278.2068,270.009
3.4,264.707,269.986
3.45,251.2083,269.962
3.5,237.7108,269.938
3.55,224.2144,269.915
3.6,210.7193,269.891
3.65,197.2253,269.868
3.7,183.7325,269.844
3.75,170.2409,269.821
3.8,156.7504,269.797
3.85,143.2612,269.773
3.9,129.7731,269.75
3.95,116.2862,269.726
4,102.8005,269.703
4.05,89.3368,268.429
4.1,75.9992,264.656
4.15,62.9129,258.382
4.2,50.2027,249.609
4.25,37.9937,238.335
4.3,26.4108,224.561
4.35,15.5792,208.288
4.4,5.6237,189.514
4.45,-3.3306,168.241
4.5,-11.1587,144.467
4.55,-17.7356,118.194
4.6,-22.9364,89.42
4.65,-26.6359,58.146
4.7,-28.7093,24.373
4.75,-29.0316,-11.901
4.8,-27.4776,-50.674
4.85,-23.9225,-91.948
4.9,-18.2412,-135.721
4.95,-10.3087,-181.995
5,-1.017E-12,-230.768
